"식품인증업소 관리 일련번호","업소번호","업소 명","자치구 코드","자치구 명","업종 코드","업종 명","업태 코드","업태 명","업주 명","식품인증구분","식품인증 구분명","인증일자","사용여부","지도표시여부","식품인증업소 등급","지도 Y좌표","지도 X좌표","전화번호","도로명상세주소","도로명주소코드","도로명주소","허가번호","최초작성일자","최종수정일자","업소인증메뉴","교부번호","인증여부"
"11204","","포탈라 (마포)","3130000","마포구","101","일반음식점","10199","기타(일반음식점)","","14","채식음식점","2020-12-11","Y","Y","","37.5571385","126.9204836","02-928-8847","","","서울 마포구 월드컵북로4길 13","","","","믹스야채 커리(락토비건가능) 말라이 코프타(락토비건가능) 빨락빠니르(락토비건가능) 빠니르 버터 마살라(락토비건가능) 달 프라이(락토비건가능) 머쉬룸 커리(락토비건가능) 야채 파코라 (비건)","",""
"9799","20070069866","마포나루1호점","3130000","마포구","101","일반음식점","","","하영옥","04","저염실천음식점","2020-12-31","Y","Y","","37.541274","126.948944","02-711-5959","","114402113001","서울특별시 마포구 마포대로 68(도화동마포아크로타워 지하0102호)","제2020-저염-0288호","","","된장국","","Y"
"9798","20150069152","월드아구찜","3130000","마포구","101","일반음식점","","","이승수","04","저염실천음식점","2020-12-31","Y","Y","","37.565423","126.903531","02-2299-2409","","114404139505","서울특별시 마포구 월드컵로34길 13(203-1203-2호 성산동 상암월드시티)","제2020-저염-0287호","","","동태찌개","","Y"
"11180","","크리스피프레시 (합정)","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.551144","126.91192","02-333-1281","딜라이트스퀘어 2차 지하1층","","서울 마포구 월드컵로3길 14","","","","비욘드미트 타코볼(비건) 비욘드미트 플레이트(비건)","",""
"11181","","키다리 아저씨","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.55844","126.9107455","02-6489-4200","","","서울 마포구 성미산로 22","","","","비건살구파운드 (비건)","",""
"9797","","이룸웨딩홀","3130000","마포구","101","일반음식점","10106","뷔페식","박진우","04","저염실천음식점","2020-12-31","Y","Y","","37.54207","126.94978","  ","(도화동지하1층 6층)","","서울특별시 마포구 마포대로 78","제2020-저염-0286호","","","육수","","Y"
"11199","","펠앤콜","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.548169","126.92217","070-4411-1434","","","서울 마포구 와우산로 39-21","","","","싱글-일부메뉴(비건) 더블-일부메뉴(비건)","",""
"11040","","연우김밥 (성산)","3130000","마포구","101","일반음식점","10105","분식","","14","채식음식점","2020-12-11","Y","Y","","37.558552","126.910072","02-336-4522","","","서울 마포구 성미산로 17","","","","꽃나물김밥(오보비건가능) 유부김밥(일반식비건가능)","",""
"11201","","포인트프레드릭","3130000","마포구","101","일반음식점","10199","기타(일반음식점)","","14","채식음식점","2020-12-11","Y","Y","","37.553705","126.912293","0507-1311-8104","","","서울 마포구 동교로12길 12","","","","올리브(비건) 갱보(비건락토가능) 바바넛(비건) 앙팡(비건) 콘치(비건) 비건 치즈(비건) 비건 글라스 와인(비건)","",""
"10971","","셰발레리","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.552064","126.906957","02-6013-0269","","","서울 마포구 포은로 52","","","","오리지널 푸틴(비건) 비욘드 핫도그(비건) 통밀_Meatsauce 리가토니(비건) 캔디악 피자(비건) 유기농 잎차 (비건) 캐네디언 메이플 소이 라테(비건) 핫초코(비건) 메이플 글레이즈 피칸 (비건) 메이플 파이(비건) 몰라세스 쿠키(비건) 유기농 비건 하우스 와인 (비건) 구운야채 샌드위치(비건) 샹피뇽 피자(비건) 샹피뇽 시금치면 파스타(비건)","",""
"11028","","언플러그드","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.555489","126.929293","070-4200-9251","","","서울 마포구 와우산로33길 26","","","","채식라면(비건) 야채볶음(비건) 나초(비건) 비건 카밤(비건)","",""
"11026","","어반도투리","3130000","마포구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.544738","126.948266","02-714-3202","","","서울 마포구 백범로 152","","","","도토리전(비건) 도토리묵 무침(페스코) 골뱅이 도토리묵 무침(페스코)","",""
"11022","","어게인리프레쉬 (연남)","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.5589314","126.9249856","02-337-2298","","","서울 마포구 양화로21길 15","","","","아보카도&연어 샐러드(페스코) 아보카도&리코타 샐러드(락토) 리코타치즈(락토비건가능) 연어 라이스볼(페스코)","",""
"10372","","내여자를부탁해 (메세나폴리스)","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.549259","126.913191","02-332-2043","2F","","서울 마포구 양화로 45","","","","버섯 샐러드(비건)","",""
"11237","","홍쉐프","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.5557168","126.9201627","02-325-7971","","","서울 마포구 동교로 164","","","","알리오올리오(비건)","",""
"10925","","비비빔","3130000","마포구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.559557","126.916276","02-336-0174","1층","","서울 마포구 동교로19길 96","","","","연두부 비빔밥(페스코비건가능) 검은콩 콩국수(비건)","",""
"11039","","연우김밥","3130000","마포구","101","일반음식점","10105","분식","","14","채식음식점","2020-12-11","Y","Y","","37.547302","126.922815","02-323-0065","","","서울 마포구 와우산로 31","","","","꽃나물김밥(오보비건가능) 유부김밥(일반식비건가능)","",""
"10932","","삼삼오오커피공작소","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.5618356","126.9158166","0507-1319-8629","","","서울 마포구 월드컵북로12길 20","","","","실곤약샐러드(비건)과일샐러드(비건)","",""
"11017","","앙뗄","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.562893","126.924188","0507-1372-9908","","","서울 마포구 동교로41길 10","","","","당근 파운드(비건) 단호박 파운드(비건) 카페라떼(락토비건가능)","",""
"11016","","알디프 티 바 & 라운지","3130000","마포구","101","일반음식점","10199","기타(일반음식점)","","14","채식음식점","2020-12-11","Y","Y","","37.5558595","126.929397","0507-1315-5033","B1-1F","","서울 마포구 와우산로 35길 19","","","","비건베리에이션(비건)","",""
"11015","","아필립","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.5629657","126.926567","0507-1322-9740","","","서울 마포구 성미산로 191","","","","야채 야끼커리(비건)토마토가지그라탕(비건)쥬키니보트를 탄 병아리콩찰보리밥(비건)뿌리채소 샐러드(비건)아필립곡물빵(비건)아보카도 과카몰리(비건)비쉬솨즈(비건)소이요거트(비건)비건아이스크림(비건)생과일야채주스(비건)","",""
"11013","","아이엠샐러드","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.581324","126.888548","070-7627-7000","","","서울 마포구 월드컵북로54길 17","","","","머쉬룸 샐러드(비건)","",""
"11221","","할랄가이즈 (홍대)","3130000","마포구","101","일반음식점","10199","기타(일반음식점)","","14","채식음식점","2020-12-11","Y","Y","","37.556937","126.923323","02-332-1802","","","서울 마포구 양화로 161","","","","팔라펠 샌드위치(오보비건가능) 팔라펠 플래터(오보비건가능) 후무스와 피타(락토)","",""
"11001","","슬로우캘리","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.5613621","126.9258205","02-336-0688","","","서울특별시 마포구 동교로 38길 35","","","","오리엔탈두부포케(비건)","",""
"10977","","수카라","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.5550895","126.9301069","02-334-5919","","","서울 마포구 와우산로 157","","","","천연효모빵과 현미야채 스프 플레이트(비건) 천연효모빵과 현미야채스프 간식 세트(비건) 수제 천연효모빵(비건)","",""
"10975","","수잔네 허브식당","3130000","마포구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.553509","126.914539","02-6339-6042","","","서울 마포구 월드컵로8길 41","","","","어향가지 초밥(비건) 모듬 샐러드(비건) 두부 열무 비빔밥(페스코) 어묵우동(페스코)","",""
"11222","","해밀 비건 베이커리","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.559651","126.915965","070-7655-0723","","","서울 마포구 동교로19길 101","","","","레몬스콘(비건) 크랜베리스콘(비건)다크쿠키(비건)누아젯쿠키(비건)명품디너샌드(비건)초코소라빵(비건)리얼 비건 슈크림 빵(비건)유자 크림빵(비건) 카스테라(플레인/얼그레이/딸기)(비건)비건햄치즈마요(비건)비건어니언치즈(비건)치아바타샌드위치(비건)브라우니(비건)흑미가나슈샌드(비건)롤빵(애플시나몬/고구마)(비건)비건피자(비건)","",""
"11224","","해콩 (망원)","3130000","마포구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.557646","126.908356","02-336-5010","","","서울 마포구 월드컵로 103","","","","두유 라떼(비건) 코코넛 두유 커피 쉐이크(비건) 두유 (비건) 스무디(비건) 핫두유(비건)","",""
"11229","","호수꼬치 (홍대합정점)","3130000","마포구","101","일반음식점","10199","기타(일반음식점)","","14","채식음식점","2020-12-11","Y","Y","","37.5480746","126.9194381","0507-1466-5551","","","서울 마포구 독막로 55","","","","비건꼬치세트(비건)","",""
"11239","","황금룡","3130000","마포구","101","일반음식점","10102","중국식","","14","채식음식점","2020-12-11","Y","Y","","37.555068","126.905325","02-324-0442","","","서울 마포구 포은로 90","","","","유니짜장(비건) 야채짬뽕(비건) 고추덮밥(비건) 마파두부(비건) 깐풍가지(비건) 송이아스파라거스볶음(비건)","",""
"10966","","샐러마리","3130000","마포구","101","일반음식점","10105","분식","","14","채식음식점","2020-12-11","Y","Y","","37.553625","126.90233","02-6104-9105","1층","","서울 마포구 희우정로 93","","","","머쉬룸김밥(비건) 커스텀김밥(비건) 바질냉우동(비건)","",""
"9801","19990070500","경복궁서교점","3130000","마포구","101","일반음식점","","","김미애","04","저염실천음식점","2020-12-31","Y","Y","","37.557611","126.918156","02-3143-7071","","114403113019","서울특별시 마포구 월드컵북로 37(서교동)","제2020-저염-0290호","","","영양갈비탕","","Y"
"9802","19930069317","(주)거구상사(거구장)","3130000","마포구","101","일반음식점","","","한을희","04","저염실천음식점","2020-12-31","Y","Y","","37.552294","126.937925","02-715-3611","","114403005016","서울특별시 마포구 백범로 23(신수동외 8필지)","제2020-저염-0291호","","","갈비탕","","Y"
"10354","","기웃기웃","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.554569","126.933612","","","","서울 마포구 신촌로12다길 20","","","","카페라떼(락토비건가능) 라벤더라떼(락토비건가능) 플랫화이트(락토비건가능) 쇼콜라(락토) 피스타&바나나쉐이크(비건) 비건 피넛버터쿠키(비건) 비건 두부크림빵(비건)","",""
"10375","","녹기전에","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.546676","126.945562","070-8829-8020","","","서울 마포구 백범로 127-24","","","","싱글(비건) 더블(비건) 포장 (비건) 포장 (비건) 포장 (비건)","",""
"10379","","니니네","3130000","마포구","101","일반음식점","10117","까페","","14","채식음식점","2020-12-11","Y","Y","","37.548569","126.938831","","1층","","서울 마포구 광성로6길 30","","","","단호박 인절미케이크(비건) 아보카도 크럼블 브라우니(비건) 크랜베리 스콘(비건) 얼그레이 마들렌(비건) 코코넛 무화과 비스코티(비건) 흑임잼 마들렌(비건) 흑미 스콘(비건) 초코칩쿠키(비건) 쑥 찹쌀파이(비건)","",""
